datetime,lat,lon,temperature,salinity,chlorophyll_a,ph,alkalinity
2024-06-15 15:34:00,56.526288,-5.408944,13.51,32.04,3.38,8.05,2266
2024-06-15 15:41:00,56.527663,-5.409188,13.69,32.08,2.77,8.06,2246
2024-06-15 15:48:00,56.527817,-5.409959,13.55,32.23,2.86,8.08,2242
2024-06-15 15:55:00,56.5266,-5.409527,13.63,32.03,3.26,8.07,2257
2024-06-15 16:02:00,56.527903,-5.390263,13.62,31.96,2.98,8.07,2246
2024-06-15 16:09:00,56.527775,-5.389486,13.68,31.97,2.9,8.02,2257
2024-06-15 16:16:00,56.527341,-5.389921,13.59,31.88,2.9,8.06,2258
2024-06-15 16:23:00,56.527723,-5.390139,13.71,32.08,2.93,8.1,2242
2024-06-15 16:30:00,56.526855,-5.37054,14.24,32.34,2.36,8.07,2246
2024-06-15 16:37:00,56.526587,-5.370173,14.39,32.44,2.19,8.08,2254
2024-06-15 16:44:00,56.526447,-5.370122,14.23,32.32,2.23,8.08,2249
2024-06-15 16:51:00,56.526603,-5.370101,14.12,32.44,2.01,8.05,2247
2024-06-15 16:58:00,56.539667,-5.428083,14.65,32.61,2.17,8.06,2271
2024-06-15 17:05:00,56.540267,-5.430807,14.29,32.47,2.06,8.02,2243
2024-06-15 17:12:00,56.539162,-5.430244,14.36,32.64,1.8,8.06,2252
2024-06-15 17:19:00,56.540181,-5.429326,14.6,32.52,2.47,8.04,2269
2024-06-15 17:26:00,56.541272,-5.410365,14.07,32.41,2.47,8.05,2266
2024-06-15 17:33:00,56.539424,-5.409927,14.11,32.44,2.42,8.05,2237
2024-06-15 17:40:00,56.540159,-5.411072,14.24,32.19,2.63,8.08,2264
2024-06-15 17:47:00,56.540294,-5.410057,13.72,32.31,2.77,8.08,2265
2024-06-15 17:54:00,56.540131,-5.39067,14.17,32.49,2.65,8.05,2246
2024-06-15 18:01:00,56.540482,-5.390777,14.05,32.42,2.39,8.08,2252
2024-06-15 18:08:00,56.539566,-5.389722,14.17,32.26,2.72,8.08,2248
2024-06-15 18:15:00,56.540077,-5.389793,14.04,32.24,2.5,8.06,2256
2024-06-15 18:22:00,56.539647,-5.368138,14.52,32.52,2.3,8.07,2258
2024-06-15 18:29:00,56.539751,-5.369496,14.58,32.63,1.99,8.06,2271
2024-06-15 18:36:00,56.540143,-5.371871,14.69,32.46,2.14,8.07,2252
2024-06-15 18:43:00,56.539817,-5.370694,14.11,32.54,2.03,8.07,2250
