adcp_time_utc,gps_lat,gps_lon,VelE_bin1,VelN_bin1,VelE_bin2,VelN_bin2,VelE_bin3,VelN_bin3
2024-06-15 09:46:13,56.537018,-5.389361,0.1778,0.0325,0.1432,0.1034,0.2052,0.0732
2024-06-15 09:47:37,56.511494,-5.395201,0.1441,0.047,0.1773,0.097,0.1353,0.1079
2024-06-15 09:55:01,56.529801,-5.419819,0.1771,0.0762,0.1385,0.0493,0.2041,0.0297
2024-06-15 09:55:58,56.52364,-5.416522,0.1503,0.0701,0.1785,0.1105,0.2009,0.0734
2024-06-15 09:58:49,56.510722,-5.392214,0.1856,0.1158,0.1674,0.0875,0.2114,0.0913
2024-06-15 10:01:36,56.527548,-5.383797,0.1761,0.0812,0.217,0.1414,0.1733,0.079
2024-06-15 10:04:18,56.50246,-5.3791,0.0678,0.0731,0.1057,-0.0072,0.0974,0.0346
2024-06-15 10:08:32,56.534571,-5.393241,0.1302,0.0247,0.1916,0.0385,0.2338,0.0477
2024-06-15 10:11:34,56.513734,-5.414449,0.1568,0.1106,0.1918,0.0452,0.1801,0.0711
2024-06-15 10:12:24,56.493874,-5.412856,0.1279,0.0824,0.138,0.0635,0.1796,0.1191
2024-06-15 10:15:25,56.525321,-5.426146,0.0899,0.0765,0.1346,0.0774,0.0953,0.104
2024-06-15 10:15:57,56.519204,-5.388269,0.2011,0.0293,0.1873,0.0855,0.1664,0.1305
2024-06-15 10:16:14,56.532672,-5.372794,0.0645,0.0755,0.0949,0.0498,0.1644,0.0874
2024-06-15 10:17:07,56.511792,-5.428259,0.1014,0.095,0.1391,0.0777,0.1517,0.0763
2024-06-15 10:18:42,56.521113,-5.428382,0.0906,0.0795,0.2139,0.074,0.1998,0.0974
2024-06-15 10:18:57,56.492514,-5.407254,0.1419,0.0826,0.1629,0.0388,0.1744,0.0171
2024-06-15 10:19:16,56.502614,-5.425086,0.1808,0.0602,0.1948,0.0668,0.1299,0.0301
2024-06-15 10:19:21,56.522588,-5.384746,0.1757,0.059,0.2033,0.0804,0.2373,0.1166
2024-06-15 10:20:21,56.518198,-5.416922,0.1298,0.0169,0.2083,0.1143,0.1961,0.0704
2024-06-15 10:20:53,56.530965,-5.372117,0.1307,0.0561,0.1255,0.1039,0.1995,0.0595
2024-06-15 10:22:02,56.525751,-5.42544,0.112,0.017,0.2141,0.0983,0.2041,0.0403
2024-06-15 10:22:25,56.496053,-5.370969,0.1261,0.0221,0.1076,0.0717,0.1176,0.063
2024-06-15 10:22:27,56.532479,-5.38066,0.2127,0.1032,0.1095,0.0251,0.1608,0.0422
2024-06-15 10:22:50,56.52669,-5.372072,0.1188,0.108,0.1088,0.0566,0.1067,0.0893
2024-06-15 10:23:48,56.50342,-5.378897,0.1462,0.0478,0.1875,0.0555,0.1257,0.0857
2024-06-15 10:25:40,56.508949,-5.428278,0.1464,0.0404,0.1745,0.1189,0.1264,0.1245
2024-06-15 10:28:47,56.525059,-5.413424,0.247,0.0696,0.2347,0.1025,0.1277,0.0881
2024-06-15 10:34:35,56.52453,-5.391246,0.0851,0.0711,0.2108,0.0933,0.1906,0.0644
2024-06-15 10:34:49,56.519078,-5.401604,0.1301,0.0696,0.2048,0.064,0.2136,0.0756
2024-06-15 10:35:21,56.50257,-5.422761,0.1418,0.0715,0.0955,0.0574,0.1861,0.0938
2024-06-15 10:35:25,56.51421,-5.386525,0.2057,0.0634,0.1852,0.096,0.2146,0.1096
2024-06-15 10:36:03,56.498972,-5.429151,0.0905,0.0458,0.1963,0.055,0.1516,0.0514
2024-06-15 10:36:06,56.533423,-5.400547,0.1796,0.0335,0.1295,0.0801,0.1913,0.089
2024-06-15 10:36:23,56.537053,-5.401336,0.1536,0.0306,0.2134,0.0885,0.198,0.0809
2024-06-15 10:39:00,56.518142,-5.41177,0.1795,0.0691,0.1962,0.0428,0.2145,0.0699
2024-06-15 10:40:04,56.516129,-5.402969,0.1003,0.0982,0.2436,0.0911,0.1872,0.0721
2024-06-15 10:44:10,56.527004,-5.373145,0.1364,0.0745,0.1426,0.0507,0.1752,0.0815
2024-06-15 10:47:26,56.490134,-5.40297,0.1024,0.0412,0.1633,0.1127,0.1562,0.0399
2024-06-15 10:50:42,56.524369,-5.374565,0.1468,0.016,0.111,0.0089,0.129,0.0909
2024-06-15 10:52:13,56.522382,-5.375495,0.1437,0.0481,0.1812,0.0922,0.1772,0.0368
2024-06-15 10:53:17,56.504431,-5.422539,0.1136,0.0153,0.2084,0.0577,0.1616,0.0765
2024-06-15 10:53:33,56.491993,-5.404078,0.1202,0.0772,0.2461,0.1097,0.2004,0.0401
2024-06-15 10:56:41,56.537539,-5.370026,0.0978,0.0254,0.2003,0.0682,0.0894,0.0683
2024-06-15 11:01:10,56.535804,-5.419111,0.0788,0.032,0.1356,0.0652,0.1451,0.092
2024-06-15 11:01:42,56.523507,-5.378536,0.1108,0.1007,0.1455,0.1425,0.2022,0.0433
2024-06-15 11:02:29,56.512741,-5.411129,0.1138,0.1417,0.1535,0.105,0.2676,0.0883
2024-06-15 11:11:20,56.51713,-5.405205,0.1848,0.1014,0.2067,0.0482,0.2231,0.0775
2024-06-15 11:13:15,56.517461,-5.37434,0.0797,0.0761,0.2421,0.1259,0.1551,0.062
2024-06-15 11:16:16,56.497919,-5.39695,0.1287,0.0585,0.2628,0.0721,0.1697,0.0851
2024-06-15 11:16:36,56.531607,-5.400097,0.1368,0.0284,0.165,0.1324,0.2205,0.0796
2024-06-15 11:17:22,56.517563,-5.406985,0.2093,0.0568,0.2588,0.0472,0.2059,0.148
2024-06-15 11:22:25,56.510747,-5.373945,0.0617,0.0552,0.156,0.0942,0.0503,0.0177
2024-06-15 11:23:47,56.514482,-5.421084,0.1091,0.0558,0.1264,0.0629,0.1544,0.0885
2024-06-15 11:31:53,56.499433,-5.38815,0.1169,0.052,0.1737,0.065,0.184,0.0332
2024-06-15 11:31:58,56.53057,-5.406835,0.1086,0.0158,0.2226,0.0719,0.2369,0.0906
2024-06-15 11:32:19,56.519509,-5.377818,0.1723,0.038,0.1267,0.0678,0.1775,0.0489
2024-06-15 11:32:29,56.522739,-5.420738,0.0385,0.0761,0.1381,0.1124,0.1388,0.032
2024-06-15 11:35:10,56.532617,-5.378439,0.1042,0.0728,0.1424,0.0161,0.1761,0.0655
2024-06-15 11:36:30,56.493421,-5.39213,0.2563,0.0081,0.161,0.0369,0.2216,0.0993
2024-06-15 11:37:42,56.533629,-5.403379,0.1125,0.0003,0.2392,0.0886,0.1746,0.1075
2024-06-15 11:43:20,56.497278,-5.39813,0.0795,0.0408,0.1811,0.0853,0.226,0.0506
2024-06-15 11:45:11,56.502041,-5.37523,0.1589,0.0817,0.1567,0.0898,0.2428,0.0755
2024-06-15 11:48:07,56.53506,-5.389343,0.1597,0.0852,0.1333,0.1026,0.15,0.0513
2024-06-15 11:50:09,56.502505,-5.379282,0.1497,0.0868,0.1356,0.0728,0.1315,0.0592
2024-06-15 11:51:06,56.539635,-5.412286,0.1847,0.0472,0.1441,0.1023,0.1387,0.0237
2024-06-15 11:54:57,56.492452,-5.393616,0.0471,0.0582,0.1442,0.1205,0.1446,0.0565
2024-06-15 12:00:12,56.521831,-5.392747,0.1337,0.0278,0.1529,0.0369,0.1504,0.0454
2024-06-15 12:01:55,56.522317,-5.411464,0.1069,0.0823,0.1852,0.0686,0.1842,0.1361
2024-06-15 12:03:25,56.498782,-5.42207,0.0275,0.0359,0.0703,0.0538,0.1852,0.0519
2024-06-15 12:06:19,56.531234,-5.401089,0.1705,0.0171,0.1665,0.0891,0.2132,0.079
2024-06-15 12:10:28,56.538325,-5.378392,0.103,-0.0323,0.216,0.0496,0.1103,0.1053
2024-06-15 12:10:55,56.490696,-5.397806,0.0739,0.0682,0.1326,0.0316,0.2124,0.0083
2024-06-15 12:13:02,56.495417,-5.415971,0.2147,0.0661,0.0768,0.0425,0.175,0.0839
2024-06-15 12:13:18,56.531193,-5.375437,0.1146,0.083,0.2151,0.1205,0.1505,0.103
2024-06-15 12:14:08,56.49486,-5.376764,0.1531,0.0769,0.1174,0.0191,0.2007,0.0573
2024-06-15 12:14:10,56.527113,-5.420729,0.1221,0.0659,0.1245,0.0727,0.189,0.0743
2024-06-15 12:16:10,56.508526,-5.403397,0.2408,0.0549,0.2484,0.1142,0.1095,0.072
2024-06-15 12:17:55,56.507934,-5.406112,0.1701,0.0855,0.2205,0.0586,0.1815,0.056
2024-06-15 12:18:44,56.519857,-5.428719,0.138,0.0338,0.1937,0.0942,0.2324,0.0936
2024-06-15 12:20:30,56.500358,-5.417043,0.1636,0.04,0.2186,0.1231,0.26,0.0785
2024-06-15 12:22:05,56.497234,-5.4222,0.1286,0.0729,0.1496,0.0594,0.2377,0.0756
2024-06-15 12:25:34,56.501897,-5.410574,0.1544,0.073,0.1756,0.0404,0.1917,0.0494
2024-06-15 12:27:50,56.528901,-5.399206,0.1888,0.0886,0.1938,0.0763,0.2145,0.027
2024-06-15 12:30:27,56.516073,-5.402517,0.1891,0.0753,0.1702,0.0972,0.2097,0.0689
2024-06-15 12:31:47,56.535485,-5.425591,0.1687,0.0704,0.1744,0.0702,0.1233,0.0375
2024-06-15 12:32:08,56.506259,-5.370322,0.0844,0.0475,0.1386,0.0561,0.1424,0.0138
2024-06-15 12:37:20,56.522546,-5.383862,0.1441,0.0441,0.1515,0.084,0.1706,0.1119
2024-06-15 12:39:13,56.510799,-5.424295,0.0856,0.079,0.1502,0.0835,0.1934,0.0719
2024-06-15 12:39:17,56.531589,-5.424406,0.1814,0.0818,0.1723,0.0291,0.1218,0.05
2024-06-15 12:42:40,56.506482,-5.422666,0.1027,0.0946,0.1664,0.0108,0.1611,-0.0005
2024-06-15 12:45:52,56.520021,-5.408901,0.1377,0.0613,0.1787,0.0674,0.2708,0.1288
2024-06-15 12:47:11,56.508378,-5.384244,0.0857,0.0409,0.2417,0.0112,0.2188,0.0473
2024-06-15 12:48:50,56.522135,-5.428425,0.1984,0.0309,0.1539,0.0851,0.1596,0.0472
2024-06-15 12:50:01,56.506991,-5.429634,0.1634,0.0257,0.1357,0.0745,0.1598,0.0647
2024-06-15 12:50:11,56.527306,-5.417092,0.1104,0.0744,0.127,0.1084,0.1938,0.0412
2024-06-15 12:50:23,56.494248,-5.426843,0.1495,0.0843,0.1281,0.0382,0.1304,0.0349
2024-06-15 12:50:44,56.512102,-5.41361,0.1572,0.0536,0.1584,0.0924,0.1835,0.0576
2024-06-15 12:53:17,56.523357,-5.427275,0.0888,0.0806,0.1917,0.0682,0.1763,0.0883
2024-06-15 12:53:57,56.502776,-5.410313,0.2164,0.0675,0.1977,0.1043,0.1816,0.0507
2024-06-15 12:53:57,56.531668,-5.381628,0.2063,0.0835,0.1692,0.0704,0.2452,0.0462
2024-06-15 12:55:57,56.518788,-5.395596,0.159,0.0445,0.2095,0.0937,0.1877,0.1452
2024-06-15 13:00:49,56.520906,-5.380078,0.1598,0.0562,0.1904,0.0563,0.1469,0.0617
2024-06-15 13:03:36,56.509788,-5.411384,0.1392,0.092,0.2135,0.1142,0.2419,0.1135
2024-06-15 13:05:24,56.535296,-5.409037,0.1262,0.0034,0.1757,0.0498,0.1938,0.0917
2024-06-15 13:06:27,56.52012,-5.384387,0.1381,0.0505,0.1891,0.0446,0.1995,0.0352
2024-06-15 13:11:19,56.512445,-5.374551,0.0851,0.0418,0.108,0.0281,0.1625,0.0639
2024-06-15 13:13:38,56.493414,-5.403468,0.126,0.081,0.2084,0.0822,0.1611,0.1062
2024-06-15 13:19:27,56.492845,-5.380098,0.1955,0.0801,0.1835,0.0301,0.1175,0.0665
2024-06-15 13:22:29,56.517716,-5.382491,0.185,0.0452,0.2017,0.0377,0.1757,0.1154
2024-06-15 13:22:42,56.497543,-5.426288,0.1922,0.0909,0.1137,0.1019,0.1366,0.0671
2024-06-15 13:22:46,56.502387,-5.403735,0.1088,0.0806,0.2058,0.1048,0.1918,0.1172
2024-06-15 13:25:07,56.506918,-5.394127,0.1752,0.0285,0.2096,0.09,0.1952,0.0696
2024-06-15 13:33:49,56.526187,-5.390606,0.2203,0.0325,0.1568,0.114,0.2219,0.1079
2024-06-15 13:34:30,56.538385,-5.388091,0.0873,0.0799,0.1869,0.0557,0.1173,0.1082
2024-06-15 13:35:42,56.530659,-5.389793,0.1756,0.019,0.1539,0.0409,0.1622,0.0558
2024-06-15 13:39:21,56.508091,-5.408244,0.1723,0.0891,0.2363,0.0731,0.2119,0.1075
2024-06-15 13:40:18,56.493858,-5.379334,0.1807,0.0833,0.1928,0.0097,0.1983,0.0749
2024-06-15 13:42:27,56.528315,-5.422137,0.1175,0.0697,0.195,0.0238,0.1836,0.0576
2024-06-15 13:45:08,56.511884,-5.405348,0.156,0.0548,0.1722,0.0979,0.2195,0.0642
2024-06-15 13:50:05,56.516701,-5.411432,0.1769,0.0388,0.2123,0.0597,0.3179,0.0632
2024-06-15 13:50:33,56.513084,-5.413094,0.1217,0.0938,0.2615,0.0711,0.2121,0.0741
2024-06-15 13:50:41,56.5025,-5.391529,0.1871,0.0385,0.2434,0.1136,0.2161,0.0656
2024-06-15 13:51:23,56.528156,-5.413633,0.1639,0.0531,0.0849,0.1029,0.1965,0.1138
2024-06-15 13:58:35,56.507479,-5.4284,0.1749,0.0668,0.1679,0.1626,0.1627,0.0768
2024-06-15 13:59:23,56.536541,-5.379649,0.0835,0.0096,0.1715,0.0819,0.1924,0.0278
2024-06-15 14:03:25,56.49694,-5.387668,0.1345,0.0602,0.1932,0.0821,0.2057,0.0444
2024-06-15 14:05:05,56.526362,-5.398334,0.1824,0.0845,0.1846,0.0912,0.142,0.1149
2024-06-15 14:09:28,56.512856,-5.423349,0.1855,0.0377,0.2169,0.0762,0.1842,0.0952
2024-06-15 14:09:52,56.511462,-5.393111,0.169,0.1043,0.1911,0.077,0.2313,0.0935
2024-06-15 14:10:12,56.516303,-5.39956,0.228,0.0759,0.1779,0.1159,0.1563,0.0386
2024-06-15 14:13:23,56.502683,-5.429025,0.1345,0.0261,0.1448,0.0215,0.1722,0.0203
2024-06-15 14:14:04,56.506626,-5.42734,0.0612,0.0401,0.1893,0.1133,0.1107,0.0826
2024-06-15 14:15:18,56.521587,-5.38131,0.21,0.0831,0.1432,0.0823,0.2157,0.0875
2024-06-15 14:15:29,56.492095,-5.373998,-0.0028,0.0398,0.1109,0.052,0.1526,0.0435
2024-06-15 14:16:05,56.507849,-5.38315,0.1724,0.0441,0.2054,0.0973,0.2437,0.0519
2024-06-15 14:16:20,56.534732,-5.406801,0.1851,0.0537,0.0759,0.0724,0.1093,0.0708
2024-06-15 14:21:11,56.526354,-5.425264,0.0727,0.0226,0.1248,0.0599,0.2233,0.0942
2024-06-15 14:23:12,56.505325,-5.393843,0.1034,0.0896,0.1827,0.0899,0.2311,0.0694
2024-06-15 14:25:57,56.539908,-5.413527,0.2218,0.0435,0.2012,0.0826,0.116,0.1093
2024-06-15 14:28:32,56.523971,-5.372833,0.1654,0.0877,0.1596,0.0589,0.234,0.0937
2024-06-15 14:29:14,56.508316,-5.407029,0.1125,0.0543,0.1526,0.0193,0.1638,0.1291
2024-06-15 14:34:28,56.518696,-5.398232,0.1256,0.102,0.2065,0.1059,0.2194,0.0637
2024-06-15 14:36:47,56.509349,-5.3963,0.1648,0.0968,0.074,0.1216,0.1975,0.1608
2024-06-15 14:37:11,56.51456,-5.422642,0.1687,0.0349,0.2056,0.054,0.2365,0.1033
2024-06-15 14:39:26,56.532276,-5.410825,0.1326,0.0695,0.0879,0.0561,0.2209,0.0406
2024-06-15 14:40:54,56.536366,-5.391738,0.148,0.0231,0.1815,0.0829,0.2211,0.1154
2024-06-15 14:43:22,56.491314,-5.396759,0.0833,0.0959,0.1066,0.0542,0.2015,0.0863
2024-06-15 14:44:35,56.53998,-5.386868,0.0579,0.0445,0.1575,0.0528,0.2196,0.0611
2024-06-15 14:49:35,56.512499,-5.389193,0.1154,0.1217,0.2044,0.0427,0.2529,0.1629
2024-06-15 14:50:19,56.511631,-5.375357,0.1577,0.0645,0.1798,0.0858,0.1522,0.1193
2024-06-15 14:56:13,56.507301,-5.373546,0.1944,0.0211,0.1597,0.1106,0.1536,0.0688
2024-06-15 14:58:15,56.505141,-5.397991,0.1357,0.0697,0.2136,0.0778,0.1733,0.0508
2024-06-15 14:58:36,56.520257,-5.379448,0.0753,0.0403,0.185,0.0761,0.1544,0.0502
2024-06-15 14:59:06,56.522556,-5.383982,0.0999,0.0861,0.123,0.0781,0.1694,0.1569
