lat,lon,date,temperature,salinity,dissolved_oxygen,depth,current_velocity,shear_stress,chlorophyll_a,turbidity,slope,roughness,substrate_hardness,sediment_type,benthic_communities,biotope,fishing_intensity,ph,alkalinity
50.3046,-4.1247,2024-01-12,7.6,35.3,9.5,27.9,0.11,0.16,NA,7.9,4.0,1.17,0.6,coarse_sand,mixed_bivalve,coarse_sand,FALSE,8.12,2267
50.3081,-4.1329,2024-01-12,8.4,35.6,8.7,27.9,0.1,0.11,NA,6.7,8.5,1.15,0.59,coarse_sand,mixed_bivalve,coarse_sand,FALSE,8.14,2293
50.3101,-4.1541,2024-01-12,8.3,34.8,9.1,21.9,0.08,0.08,NA,6.7,4.9,1.18,0.69,mixed_sediment,mixed_bivalve,mixed_coarse,FALSE,8.14,2280
50.3114,-4.1117,2024-01-12,8.9,34.5,9.3,21.9,0.17,0.26,NA,9.5,5.6,1.17,0.69,mixed_sediment,mixed_bivalve,mixed_coarse,FALSE,8.1,2256
50.3135,-4.1628,2024-01-12,8.9,35.5,9.1,21.9,0.12,0.09,NA,9.3,2.5,1.18,0.7,mixed_sediment,mixed_bivalve,mixed_coarse,FALSE,8.12,2310
50.3159,-4.125,2024-01-12,8.3,35.9,8.8,21.9,0.14,0.19,NA,6.1,2.9,1.17,0.73,mixed_sediment,mixed_bivalve,mixed_coarse,FALSE,8.1,2289
50.3162,-4.161,2024-01-12,8.2,34.6,8.5,21.9,0.25,0.26,NA,7.7,4.1,1.17,0.69,mixed_sediment,mixed_bivalve,mixed_coarse,FALSE,8.13,2293
50.3168,-4.131,2024-01-12,8.1,35.1,8.6,21.9,0.15,0.21,NA,9.3,1.8,1.2,0.69,mixed_sediment,mixed_bivalve,mixed_coarse,FALSE,8.12,2284
50.3172,-4.1069,2024-01-12,8.6,35.4,8.9,21.9,0.14,0.18,NA,10.6,2.7,1.18,0.69,mixed_sediment,mixed_bivalve,mixed_coarse,FALSE,8.15,2265
50.3174,-4.1704,2024-01-12,8.9,34.8,8.4,21.9,0.17,0.21,NA,9.0,5.3,1.19,0.71,mixed_sediment,mixed_bivalve,mixed_coarse,FALSE,8.12,2270
50.3184,-4.1692,2024-01-12,9.0,35.5,8.9,15.9,0.21,0.33,NA,8.9,3.1,1.15,0.76,shell_gravel,chlamys_opercularis,CGS,FALSE,8.15,2312
50.3193,-4.1499,2024-01-12,8.4,34.9,9.0,15.9,0.13,0.14,NA,8.2,5.7,1.11,0.81,shell_gravel,chlamys_opercularis,CGS,FALSE,8.11,2277
50.3199,-4.1404,2024-01-12,8.5,35.3,8.7,15.9,0.23,0.31,NA,8.0,2.6,1.14,0.72,shell_gravel,chlamys_opercularis,CGS,FALSE,8.15,2267
50.321,-4.101,2024-01-12,9.1,35.1,9.1,15.9,0.23,0.27,NA,7.1,4.8,1.15,0.78,shell_gravel,chlamys_opercularis,CGS,FALSE,8.15,2271
50.3217,-4.1533,2024-01-12,7.9,35.4,9.1,15.9,0.22,0.23,NA,7.5,3.6,1.11,0.78,shell_gravel,chlamys_opercularis,CGS,FALSE,8.09,2271
50.3228,-4.1504,2024-01-12,9.7,35.7,8.4,15.9,0.21,0.28,NA,8.5,3.4,1.12,0.74,shell_gravel,chlamys_opercularis,CGS,FALSE,8.14,2291
50.3232,-4.1718,2024-01-12,8.6,34.9,9.6,15.9,0.17,0.25,NA,9.8,3.4,1.15,0.81,shell_gravel,chlamys_opercularis,CGS,FALSE,8.14,2275
50.3253,-4.1009,2024-01-12,8.6,34.3,8.4,15.9,0.27,0.31,NA,10.6,5.3,1.13,0.76,shell_gravel,chlamys_opercularis,CGS,FALSE,8.14,2279
50.3253,-4.1335,2024-01-12,9.0,35.1,8.7,15.9,0.28,0.41,NA,10.2,4.0,1.05,0.77,shell_gravel,chlamys_opercularis,CGS,FALSE,8.15,2269
50.3279,-4.1695,2024-01-12,9.1,34.8,8.3,15.9,0.2,0.31,NA,9.4,3.1,1.1,0.78,shell_gravel,chlamys_opercularis,CGS,FALSE,8.12,2303
50.3301,-4.1592,2024-01-12,9.2,35.4,8.3,11.9,0.23,0.3,NA,7.5,2.1,1.11,0.8,coarse_gravel,quiniadella_spisula,CGS,FALSE,8.17,2280
50.3308,-4.1308,2024-01-12,9.8,35.0,8.8,11.9,0.26,0.31,NA,9.7,6.1,1.08,0.82,coarse_gravel,quiniadella_spisula,CGS,FALSE,8.11,2269
50.3348,-4.1263,2024-01-12,8.8,35.6,8.5,11.9,0.25,0.31,NA,9.9,5.2,1.09,0.82,coarse_gravel,quiniadella_spisula,CGS,FALSE,8.16,2309
50.335,-4.1686,2024-01-12,9.4,35.4,8.5,11.9,0.22,0.29,NA,11.7,6.6,1.12,0.81,coarse_gravel,quiniadella_spisula,CGS,FALSE,8.15,2259
50.3365,-4.1595,2024-01-12,8.5,35.0,8.9,11.9,0.26,0.38,NA,10.1,3.1,1.1,0.83,coarse_gravel,quiniadella_spisula,CGS,FALSE,8.12,2269
50.3396,-4.1536,2024-01-12,9.1,35.6,8.4,9.6,0.19,0.22,NA,9.9,1.7,1.14,0.8,coarse_gravel,quiniadella_spisula,CGS,FALSE,8.11,2304
50.3648,-4.1335,2024-01-12,9.6,34.4,8.2,2.1,0.35,0.45,NA,12.3,2.9,1.04,0.9,bedrock,quiniadella_spisula,CGS,FALSE,8.13,2279
50.2487,-4.1709,2024-04-08,13.7,35.3,8.5,67.0,0.09,0.14,3.6,0.5,18.7,1.01,0.1,silt,none_recorded,muddy_biotope,TRUE,7.99,2284
50.2632,-4.1397,2024-04-08,14.1,34.9,8.4,49.9,0.03,0.06,3.4,3.6,7.8,1.0,0.25,fine_sand,none_recorded,fine_sand_biotope,TRUE,8.07,2260
50.2686,-4.109,2024-04-08,14.5,35.0,8.1,41.9,0.1,0.17,2.8,5.2,15.6,1.04,0.38,muddy_sand,polychaete_dominated,fine_sand_biotope,TRUE,8.06,2314
50.2706,-4.1032,2024-04-08,14.1,34.6,8.8,41.9,0.07,0.1,3.1,5.1,5.7,1.01,0.42,muddy_sand,polychaete_dominated,fine_sand_biotope,FALSE,8.05,2256
50.2708,-4.1235,2024-04-08,15.0,35.3,8.7,41.9,0.14,0.21,2.9,3.7,9.0,1.04,0.45,muddy_sand,polychaete_dominated,fine_sand_biotope,FALSE,8.02,2310
50.2765,-4.1046,2024-04-08,14.9,34.7,8.3,41.9,0.08,0.12,2.9,3.8,15.7,1.03,0.42,muddy_sand,polychaete_dominated,fine_sand_biotope,FALSE,8.09,2283
50.2803,-4.1443,2024-04-08,14.2,35.1,8.3,34.9,0.12,0.18,3.0,6.2,6.8,1.08,0.47,medium_sand,sparse,sandy_gravel,FALSE,8.05,2268
50.2869,-4.1238,2024-04-08,14.2,35.2,8.2,34.9,0.09,0.11,3.2,6.8,15.2,1.09,0.53,medium_sand,sparse,sandy_gravel,FALSE,8.06,2298
50.2939,-4.1337,2024-04-08,15.2,35.4,8.4,34.9,0.08,0.08,3.2,5.5,8.4,1.04,0.54,medium_sand,sparse,sandy_gravel,FALSE,8.08,2263
50.2953,-4.1676,2024-04-08,15.5,35.1,8.3,27.9,0.13,0.19,3.0,7.9,8.3,1.15,0.65,coarse_sand,mixed_bivalve,coarse_sand,FALSE,8.08,2280
50.2963,-4.1089,2024-04-08,14.9,34.6,8.3,34.9,0.1,0.15,2.3,7.1,10.7,1.09,0.52,medium_sand,sparse,sandy_gravel,FALSE,8.06,2277
50.2966,-4.1439,2024-04-08,14.8,34.9,8.9,34.9,0.09,0.11,2.3,5.9,16.3,1.1,0.52,medium_sand,sparse,sandy_gravel,FALSE,8.08,2284
50.2974,-4.107,2024-04-08,15.0,34.5,8.3,34.9,0.13,0.15,3.2,6.0,19.8,1.11,0.55,medium_sand,sparse,sandy_gravel,FALSE,8.09,2259
50.3015,-4.1444,2024-04-08,14.9,35.4,8.2,27.9,0.11,0.11,2.8,8.8,21.8,1.18,0.66,coarse_sand,mixed_bivalve,coarse_sand,FALSE,8.11,2296
50.3038,-4.1308,2024-04-08,15.3,34.9,8.4,27.9,0.16,0.15,3.3,7.0,9.8,1.15,0.64,coarse_sand,mixed_bivalve,coarse_sand,FALSE,8.13,2280
50.3079,-4.142,2024-04-08,15.3,35.0,8.3,27.9,0.14,0.15,3.2,8.0,5.4,1.18,0.59,coarse_sand,mixed_bivalve,coarse_sand,FALSE,8.08,2284
50.3093,-4.1047,2024-04-08,15.3,35.2,8.1,21.9,0.18,0.22,2.7,8.7,3.4,1.18,0.71,mixed_sediment,mixed_bivalve,mixed_coarse,FALSE,8.1,2291
50.3106,-4.1688,2024-04-08,16.6,34.5,8.4,21.9,0.26,0.31,2.7,7.8,4.8,1.18,0.63,mixed_sediment,mixed_bivalve,mixed_coarse,FALSE,8.04,2263
50.313,-4.1233,2024-04-08,15.7,35.4,8.0,21.9,0.07,0.13,3.3,7.6,1.5,1.21,0.75,mixed_sediment,mixed_bivalve,mixed_coarse,FALSE,8.07,2293
50.3155,-4.1439,2024-04-08,14.8,35.3,8.3,21.9,0.22,0.2,2.5,7.8,6.5,1.16,0.73,mixed_sediment,mixed_bivalve,mixed_coarse,FALSE,8.06,2293
50.3169,-4.138,2024-04-08,15.7,35.0,8.0,21.9,0.18,0.25,2.5,8.2,5.5,1.21,0.69,mixed_sediment,mixed_bivalve,mixed_coarse,FALSE,8.05,2277
50.317,-4.1179,2024-04-08,14.9,35.3,8.4,21.9,0.21,0.23,3.1,8.7,6.3,1.2,0.71,mixed_sediment,mixed_bivalve,mixed_coarse,FALSE,8.07,2285
50.3171,-4.1095,2024-04-08,15.8,35.2,8.9,21.9,0.18,0.2,2.4,10.6,6.8,1.18,0.67,mixed_sediment,mixed_bivalve,mixed_coarse,FALSE,8.08,2289
50.3181,-4.1267,2024-04-08,15.2,34.7,8.1,21.9,0.21,0.27,2.9,7.4,6.8,1.18,0.69,mixed_sediment,mixed_bivalve,mixed_coarse,FALSE,8.06,2286
50.3191,-4.1534,2024-04-08,14.9,35.1,8.4,21.9,0.13,0.1,2.8,8.7,2.8,1.2,0.71,mixed_sediment,mixed_bivalve,mixed_coarse,FALSE,8.14,2263
50.3205,-4.1348,2024-04-08,15.7,34.5,8.3,15.9,0.17,0.27,3.0,9.4,4.0,1.14,0.82,shell_gravel,chlamys_opercularis,CGS,FALSE,8.08,2275
50.3209,-4.1117,2024-04-08,15.5,34.4,8.6,15.9,0.25,0.31,3.1,10.0,5.5,1.14,0.82,shell_gravel,chlamys_opercularis,CGS,FALSE,8.09,2306
50.3229,-4.1627,2024-04-08,14.7,35.8,8.9,15.9,0.18,0.18,3.5,8.4,4.4,1.13,0.78,shell_gravel,chlamys_opercularis,CGS,FALSE,8.11,2281
50.3255,-4.1617,2024-04-08,15.4,35.5,8.5,15.9,0.19,0.24,2.8,7.7,4.8,1.09,0.75,shell_gravel,chlamys_opercularis,CGS,FALSE,8.1,2274
50.3267,-4.1658,2024-04-08,15.7,35.6,8.2,15.9,0.12,0.15,2.3,5.8,3.9,1.13,0.74,shell_gravel,chlamys_opercularis,CGS,FALSE,8.05,2305
50.327,-4.1344,2024-04-08,16.5,36.0,8.2,15.9,0.22,0.23,3.0,9.4,3.6,1.09,0.76,shell_gravel,chlamys_opercularis,CGS,FALSE,8.15,2284
50.3285,-4.1399,2024-04-08,16.4,34.6,8.1,15.9,0.29,0.31,3.1,8.3,4.5,1.12,0.74,shell_gravel,chlamys_opercularis,CGS,FALSE,8.17,2265
50.3287,-4.1124,2024-04-08,15.5,35.4,7.7,15.9,0.24,0.31,2.9,9.7,4.6,1.12,0.72,shell_gravel,chlamys_opercularis,CGS,FALSE,8.08,2269
50.3299,-4.1703,2024-04-08,15.8,34.9,8.0,11.9,0.2,0.19,2.6,10.7,4.4,1.1,0.82,coarse_gravel,quiniadella_spisula,CGS,FALSE,8.13,2280
50.3351,-4.1455,2024-04-08,16.0,35.0,7.8,11.9,0.27,0.35,3.0,10.7,4.6,1.11,0.78,coarse_gravel,quiniadella_spisula,CGS,FALSE,8.09,2267
50.3377,-4.1593,2024-04-08,15.4,35.1,8.5,11.9,0.29,0.39,3.7,9.5,2.7,1.08,0.84,coarse_gravel,quiniadella_spisula,CGS,FALSE,8.05,2283
50.338,-4.1167,2024-04-08,15.7,34.7,8.4,11.9,0.2,0.22,3.5,9.6,2.2,1.11,0.74,coarse_gravel,quiniadella_spisula,CGS,FALSE,8.15,2292
50.3384,-4.1541,2024-04-08,16.3,35.2,7.7,7.9,0.29,0.39,3.5,9.3,0.6,1.05,0.98,hard_rock,quiniadella_spisula,CGS,FALSE,8.07,2277
50.3395,-4.1025,2024-04-08,15.7,34.7,7.4,11.9,0.32,0.42,2.9,7.1,4.0,1.08,0.78,coarse_gravel,quiniadella_spisula,CGS,FALSE,8.1,2276
50.3404,-4.1387,2024-04-08,15.8,35.0,7.8,7.9,0.29,0.37,3.1,11.3,2.0,1.06,0.97,hard_rock,quiniadella_spisula,CGS,FALSE,8.07,2264
50.2323,-4.14,2024-06-20,13.2,35.1,8.8,67.9,0.01,0.08,1.3,0.5,15.0,0.97,0.14,silt,none_recorded,muddy_biotope,TRUE,8.0,2230
50.2328,-4.1554,2024-06-20,13.4,34.9,8.4,67.9,0.09,0.07,2.4,0.5,19.6,1.0,0.05,silt,none_recorded,muddy_biotope,TRUE,7.99,2267
50.2514,-4.1347,2024-06-20,14.5,34.5,8.4,49.9,0.02,0.04,1.8,0.8,7.4,1.01,0.21,fine_sand,none_recorded,fine_sand_biotope,TRUE,8.03,2250
50.2573,-4.1115,2024-06-20,14.6,34.6,8.1,49.9,0.1,0.16,0.9,2.5,5.3,1.05,0.24,fine_sand,none_recorded,fine_sand_biotope,FALSE,7.98,2257
50.265,-4.1332,2024-06-20,14.7,35.2,8.2,49.9,0.12,0.13,1.1,5.0,8.3,1.03,0.27,fine_sand,none_recorded,fine_sand_biotope,TRUE,8.02,2303
50.2657,-4.1411,2024-06-20,15.1,35.8,8.3,41.9,0.13,0.14,1.3,4.6,7.6,1.04,0.37,muddy_sand,polychaete_dominated,fine_sand_biotope,TRUE,8.04,2277
50.2719,-4.1652,2024-06-20,14.3,35.0,8.3,41.9,0.06,0.09,1.9,3.8,5.2,1.05,0.41,muddy_sand,polychaete_dominated,fine_sand_biotope,TRUE,8.07,2270
50.2795,-4.1438,2024-06-20,14.6,35.1,8.5,41.9,0.08,0.15,1.5,3.9,18.3,1.06,0.36,muddy_sand,polychaete_dominated,fine_sand_biotope,TRUE,8.01,2249
50.2802,-4.1175,2024-06-20,15.0,35.1,8.1,41.9,0.18,0.23,2.1,5.5,7.2,1.01,0.37,muddy_sand,polychaete_dominated,fine_sand_biotope,TRUE,7.98,2254
50.2805,-4.141,2024-06-20,15.3,34.6,8.2,34.9,0.11,0.2,1.4,7.5,20.0,1.12,0.55,medium_sand,sparse,sandy_gravel,FALSE,8.02,2230
50.2806,-4.1622,2024-06-20,14.9,34.8,8.8,41.9,0.04,0.08,1.6,4.0,13.0,1.02,0.34,muddy_sand,polychaete_dominated,fine_sand_biotope,TRUE,8.0,2252
50.2809,-4.1364,2024-06-20,15.0,35.1,9.1,41.9,0.06,0.13,0.8,3.9,21.3,1.0,0.41,muddy_sand,polychaete_dominated,fine_sand_biotope,TRUE,8.03,2241
50.2817,-4.1699,2024-06-20,15.4,35.3,8.3,34.9,0.11,0.14,2.1,6.9,21.7,1.09,0.48,medium_sand,sparse,sandy_gravel,FALSE,8.05,2277
50.2847,-4.1001,2024-06-20,15.0,34.5,8.4,34.9,0.12,0.21,1.1,4.3,17.5,1.09,0.49,medium_sand,sparse,sandy_gravel,FALSE,8.02,2263
50.286,-4.1127,2024-06-20,15.1,35.3,8.8,34.9,0.05,0.05,2.0,5.6,19.5,1.05,0.5,medium_sand,sparse,sandy_gravel,FALSE,8.02,2243
50.2924,-4.1156,2024-06-20,14.8,35.5,7.7,34.9,0.18,0.24,1.6,3.4,13.5,1.09,0.52,medium_sand,sparse,sandy_gravel,FALSE,8.03,2269
50.2957,-4.165,2024-06-20,15.2,35.2,8.2,34.9,0.14,0.12,1.5,6.5,18.7,1.07,0.51,medium_sand,sparse,sandy_gravel,FALSE,8.04,2270
50.2958,-4.1141,2024-06-20,15.0,35.1,8.5,34.9,0.12,0.15,0.3,6.5,11.8,1.12,0.51,medium_sand,sparse,sandy_gravel,FALSE,8.02,2259
50.2972,-4.1543,2024-06-20,14.8,35.4,8.1,27.9,0.09,0.18,1.7,6.3,6.2,1.12,0.65,coarse_sand,mixed_bivalve,coarse_sand,FALSE,8.01,2266
50.2977,-4.115,2024-06-20,14.9,35.5,8.5,27.9,0.09,0.07,1.4,6.0,9.3,1.1,0.61,coarse_sand,mixed_bivalve,coarse_sand,FALSE,8.09,2278
50.3004,-4.1377,2024-06-20,15.0,35.8,8.3,27.9,0.14,0.16,1.2,6.0,10.7,1.14,0.58,coarse_sand,mixed_bivalve,coarse_sand,FALSE,8.03,2293
50.3015,-4.1297,2024-06-20,16.0,34.3,7.8,27.9,0.05,0.07,1.9,9.3,13.7,1.17,0.65,coarse_sand,mixed_bivalve,coarse_sand,FALSE,8.03,2238
50.3016,-4.1716,2024-06-20,15.4,35.2,8.2,27.9,0.13,0.17,1.4,6.2,8.2,1.15,0.62,coarse_sand,mixed_bivalve,coarse_sand,FALSE,8.09,2260
50.308,-4.1482,2024-06-20,15.6,35.4,8.3,21.9,0.13,0.16,1.9,7.1,2.5,1.19,0.71,mixed_sediment,mixed_bivalve,mixed_coarse,FALSE,8.06,2242
50.3091,-4.1468,2024-06-20,15.3,35.3,8.8,21.9,0.18,0.25,0.8,6.2,6.5,1.16,0.7,mixed_sediment,mixed_bivalve,mixed_coarse,FALSE,8.06,2270
50.3091,-4.1687,2024-06-20,14.6,35.5,8.4,27.9,0.17,0.16,1.7,5.6,7.6,1.16,0.6,coarse_sand,mixed_bivalve,coarse_sand,FALSE,8.01,2252
50.3095,-4.1712,2024-06-20,15.2,34.9,8.3,21.9,0.1,0.15,1.6,6.1,6.1,1.2,0.64,mixed_sediment,mixed_bivalve,mixed_coarse,FALSE,8.09,2289
50.3112,-4.1344,2024-06-20,15.8,35.3,8.4,21.9,0.18,0.23,2.1,7.4,2.6,1.14,0.7,mixed_sediment,mixed_bivalve,mixed_coarse,FALSE,8.07,2226
50.3126,-4.1164,2024-06-20,15.9,35.5,8.1,21.9,0.11,0.13,1.3,6.4,3.6,1.14,0.65,mixed_sediment,mixed_bivalve,mixed_coarse,FALSE,8.05,2280
50.3132,-4.1644,2024-06-20,15.4,35.0,8.3,21.9,0.24,0.36,1.4,7.0,4.3,1.2,0.66,mixed_sediment,mixed_bivalve,mixed_coarse,FALSE,8.06,2270
50.3139,-4.1534,2024-06-20,15.4,35.1,8.1,21.9,0.19,0.3,1.5,9.6,3.9,1.16,0.68,mixed_sediment,mixed_bivalve,mixed_coarse,FALSE,8.03,2267
50.3146,-4.1405,2024-06-20,14.8,35.5,8.6,21.9,0.17,0.25,1.5,6.8,2.9,1.18,0.69,mixed_sediment,mixed_bivalve,mixed_coarse,FALSE,8.09,2253
50.3152,-4.1713,2024-06-20,15.6,35.1,8.7,21.9,0.19,0.24,1.2,6.4,6.7,1.17,0.66,mixed_sediment,mixed_bivalve,mixed_coarse,FALSE,8.09,2260
50.3164,-4.1691,2024-06-20,15.4,35.1,8.5,21.9,0.18,0.2,1.1,8.7,1.8,1.17,0.66,mixed_sediment,mixed_bivalve,mixed_coarse,FALSE,8.05,2260
50.3166,-4.1334,2024-06-20,15.8,35.3,8.1,21.9,0.14,0.2,1.7,8.3,3.3,1.18,0.65,mixed_sediment,mixed_bivalve,mixed_coarse,FALSE,8.05,2267
50.3188,-4.1715,2024-06-20,16.0,34.8,8.0,15.9,0.26,0.35,1.3,9.3,4.0,1.14,0.72,shell_gravel,chlamys_opercularis,CGS,FALSE,8.07,2277
50.3206,-4.1295,2024-06-20,15.3,35.0,8.3,15.9,0.19,0.22,1.7,6.7,1.5,1.1,0.75,shell_gravel,chlamys_opercularis,CGS,FALSE,8.03,2263
50.321,-4.143,2024-06-20,16.2,35.1,8.0,15.9,0.24,0.23,0.9,9.5,4.5,1.13,0.7,shell_gravel,chlamys_opercularis,CGS,FALSE,8.06,2260
50.3217,-4.1655,2024-06-20,15.8,34.8,8.8,15.9,0.18,0.27,1.8,10.8,6.7,1.13,0.8,shell_gravel,chlamys_opercularis,CGS,FALSE,8.05,2271
50.322,-4.1238,2024-06-20,16.1,35.6,8.2,15.9,0.17,0.19,1.3,9.1,3.7,1.13,0.71,shell_gravel,chlamys_opercularis,CGS,FALSE,8.08,2275
50.3241,-4.171,2024-06-20,15.5,35.2,8.2,15.9,0.13,0.14,1.1,8.7,2.5,1.13,0.78,shell_gravel,chlamys_opercularis,CGS,FALSE,8.03,2256
50.3251,-4.1367,2024-06-20,16.2,34.9,8.1,15.9,0.26,0.32,1.1,7.9,2.4,1.16,0.78,shell_gravel,chlamys_opercularis,CGS,FALSE,8.03,2257
50.326,-4.1575,2024-06-20,15.6,35.0,8.4,15.9,0.27,0.36,1.6,8.4,5.6,1.1,0.78,shell_gravel,chlamys_opercularis,CGS,FALSE,8.09,2279
50.326,-4.1716,2024-06-20,16.3,34.8,7.9,15.9,0.23,0.36,1.4,8.7,2.6,1.13,0.73,shell_gravel,chlamys_opercularis,CGS,FALSE,8.01,2255
50.3266,-4.109,2024-06-20,15.9,35.1,8.2,15.9,0.2,0.24,0.3,10.5,5.1,1.12,0.71,shell_gravel,chlamys_opercularis,CGS,FALSE,8.02,2260
50.3279,-4.1169,2024-06-20,15.8,35.3,8.4,15.9,0.2,0.27,2.2,7.7,4.9,1.11,0.79,shell_gravel,chlamys_opercularis,CGS,FALSE,8.05,2264
50.3283,-4.1403,2024-06-20,15.9,35.0,8.2,15.9,0.27,0.36,1.9,10.5,4.9,1.12,0.73,shell_gravel,chlamys_opercularis,CGS,FALSE,8.1,2251
50.3287,-4.1507,2024-06-20,15.9,35.1,7.8,15.9,0.29,0.35,0.9,9.3,1.6,1.12,0.75,shell_gravel,chlamys_opercularis,CGS,FALSE,8.04,2260
50.3292,-4.1388,2024-06-20,15.9,34.8,8.1,11.9,0.23,0.25,1.6,9.9,4.2,1.1,0.85,coarse_gravel,quiniadella_spisula,CGS,FALSE,8.07,2255
50.3306,-4.1205,2024-06-20,15.9,34.8,8.2,11.9,0.23,0.23,2.6,9.8,1.8,1.08,0.81,coarse_gravel,quiniadella_spisula,CGS,FALSE,8.09,2262
50.3306,-4.14,2024-06-20,16.1,34.7,8.0,11.9,0.31,0.38,2.6,10.2,3.6,1.09,0.84,coarse_gravel,quiniadella_spisula,CGS,FALSE,8.04,2266
50.3348,-4.1639,2024-06-20,15.8,34.9,8.9,11.9,0.32,0.39,1.6,10.5,5.6,1.08,0.81,coarse_gravel,quiniadella_spisula,CGS,FALSE,8.09,2274
50.3364,-4.1646,2024-06-20,16.5,35.4,7.8,11.9,0.24,0.27,1.7,8.7,3.5,1.11,0.85,coarse_gravel,quiniadella_spisula,CGS,FALSE,8.07,2249
50.3391,-4.1618,2024-06-20,16.4,35.8,8.7,7.9,0.28,0.39,2.0,10.8,1.5,1.1,0.92,hard_rock,quiniadella_spisula,CGS,FALSE,8.06,2266
50.3391,-4.1371,2024-06-20,16.3,34.6,8.2,11.9,0.25,0.33,2.2,8.5,5.9,1.09,0.79,coarse_gravel,quiniadella_spisula,CGS,FALSE,8.07,2230
50.3394,-4.1334,2024-06-20,15.7,35.1,7.9,11.8,0.27,0.35,1.3,10.0,1.8,1.06,0.78,coarse_gravel,quiniadella_spisula,CGS,FALSE,8.08,2261
50.34,-4.154,2024-06-20,16.1,34.4,7.8,7.9,0.26,0.3,2.3,11.4,1.4,1.06,0.92,hard_rock,quiniadella_spisula,CGS,FALSE,8.04,2248
50.34,-4.1071,2024-06-20,15.3,34.5,8.2,7.9,0.25,0.37,1.7,10.1,0.7,1.06,0.91,hard_rock,quiniadella_spisula,CGS,FALSE,8.05,2229
50.3487,-4.1001,2024-06-20,16.6,34.3,8.3,7.9,0.24,0.27,1.6,12.1,3.1,1.05,0.86,hard_rock,quiniadella_spisula,CGS,FALSE,8.07,2250
50.3584,-4.1284,2024-06-20,15.9,35.4,8.6,4.5,0.41,0.5,1.4,10.1,1.8,1.04,0.96,bedrock,quiniadella_spisula,CGS,FALSE,8.08,2279
50.2338,-4.13,2024-09-03,7.1,34.9,8.5,67.9,0.01,-0.0,1.6,0.5,5.9,1.03,0.11,silt,none_recorded,muddy_biotope,TRUE,8.04,2264
50.2453,-4.1236,2024-09-03,7.0,35.3,8.9,67.9,0.03,-0.0,1.4,0.9,17.8,1.06,0.11,silt,none_recorded,muddy_biotope,TRUE,8.01,2299
50.2497,-4.1094,2024-09-03,7.0,35.0,9.5,67.1,0.01,0.02,0.8,0.5,7.9,1.03,0.12,silt,none_recorded,muddy_biotope,FALSE,8.03,2275
50.2515,-4.1585,2024-09-03,6.7,34.8,8.9,65.5,0.02,-0.04,1.5,2.9,10.3,1.02,0.17,silt,none_recorded,muddy_biotope,TRUE,8.04,2257
